ATGC#,genomes,numgenomes,superkingdom,phylum,order,commontaxa,COGorgs,mediandnmin,mediandnmax,mediandsmin,mediandsmax,mediandndsmin,mediandndsmax,genomesizemin,genomesizemax,genomesizeavg,numgenesmin,numgenesmax,numgenesavg,gcmin,gcmax,gcavg
ATGC183,Bordetella pertussis/bronchiseptica/parapertussis,55,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[80840] {order} Burkholderiales,[517] {genus} Bordetella,,0.0,0.0,0.0,0.1,0.1,0.6,4.0,5.3,4.2,3541,4781,3697,67.7,68.4,67.7
ATGC184,Legionella pneumophila,16,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[118969] {order} Legionellales,[446] {species} Legionella pneumophila,Legpne,0.0,0.0,0.0,0.3,0.1,0.6,2.7,3.8,3.4,2365,3238,2949,38.1,38.6,38.3
ATGC185,Methanosarcina mazei,6,[2157] {superkingdom} Archaea,[28890] {phylum} Euryarchaeota,[94695] {order} Methanosarcinales,[2209] {species} Methanosarcina mazei,,0.0,0.0,0.0,0.0,0.2,0.3,4.1,4.2,4.1,3312,3429,3382,41.4,41.5,41.5
ATGC186,Sulfurospirillum barnesii/deleyianum,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[213849] {order} Campylobacterales,[57665] {genus} Sulfurospirillum,Sulbar,0.1,0.1,1.5,1.5,0.0,0.0,2.3,2.5,2.4,2258,2478,2368,38.8,39.0,38.9
ATGC187,Arcobacter butzleri,3,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[213849] {order} Campylobacterales,[28197] {species} Arcobacter butzleri,,0.0,0.0,0.1,0.1,0.1,0.1,2.3,2.3,2.3,2147,2255,2192,27.0,27.1,27.1
ATGC188,Ralstonia solanacearum/mannitolilytica/pickettii,10,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[80840] {order} Burkholderiales,[48736] {genus} Ralstonia,Ralsol,0.0,0.1,0.0,1.2,0.0,0.1,4.8,5.8,5.4,4414,5270,4683,63.3,67.0,65.8
ATGC189,Cupriavidus/Ralstonia,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[80840] {order} Burkholderiales,[106590] {species} Cupriavidus necator,Cupnec,0.0,0.0,0.2,0.2,0.1,0.1,7.4,8.5,7.9,6488,7391,6939,65.5,66.3,65.9
ATGC190,Alteromonas mediterranea/macleodii,14,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135622] {order} Alteromonadales,[226] {genus} Alteromonas,,0.0,0.0,0.0,1.5,0.0,0.8,4.4,4.9,4.6,3653,4218,3874,44.4,44.9,44.7
ATGC191,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC192,Leuconostoc gelidum/C2/kimchii,5,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1243] {genus} Leuconostoc,Leukim,0.0,0.1,0.0,2.7,0.0,0.3,1.9,2.1,2.0,1755,2010,1867,36.7,37.9,37.2
ATGC193,Leuconostoc mesenteroides,5,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1245] {species} Leuconostoc mesenteroides,,0.0,0.0,0.0,0.0,0.1,0.3,1.9,2.1,2.0,1699,1948,1833,37.7,38.0,37.8
ATGC194,Geobacter sulfurreducens,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[69541] {order} Desulfuromonadales,[35554] {species} Geobacter sulfurreducens,,0.0,0.0,0.0,0.0,0.1,0.1,3.7,3.8,3.8,3281,3430,3355,60.9,61.0,61.0
ATGC195,Geobacter bemidjiensis/M21,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[69541] {order} Desulfuromonadales,[28231] {genus} Geobacter,,0.0,0.0,0.3,0.3,0.1,0.1,4.6,4.7,4.7,3921,4033,3977,60.3,60.5,60.4
ATGC196,Riemerella anatipestifer,9,[2] {superkingdom} Bacteria,[976] {phylum} Bacteroidetes,[200644] {order} Flavobacteriales,[34085] {species} Riemerella anatipestifer,Rieana,0.0,0.0,0.0,0.2,0.1,0.4,2.2,2.3,2.2,1648,2086,1922,35.0,35.2,35.0
ATGC197,Desulfurococcus kamchatkensis/fermentans,2,[2157] {superkingdom} Archaea,[28889] {phylum} Crenarchaeota,[114380] {order} Desulfurococcales,[2273] {genus} Desulfurococcus,Deskam,0.0,0.0,0.1,0.1,0.2,0.2,1.4,1.4,1.4,1378,1425,1401,44.8,45.3,45.0
ATGC198,Staphylothermus hellenicus/marinus,2,[2157] {superkingdom} Archaea,[28889] {phylum} Crenarchaeota,[114380] {order} Desulfurococcales,[2279] {genus} Staphylothermus,Stahel,0.0,0.0,0.5,0.5,0.1,0.1,1.6,1.6,1.6,1586,1598,1592,35.7,36.8,36.2
ATGC199,Paenibacillus polymyxa/terrae/peoriae,8,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[1385] {order} Bacillales,[44249] {genus} Paenibacillus,,0.0,0.0,0.0,0.6,0.1,0.2,5.4,6.2,6.0,4528,5473,5036,44.6,46.8,45.5
ATGC200,Paenibacillus mucilaginosus,3,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[1385] {order} Bacillales,[61624] {species} Paenibacillus mucilaginosus,Paemuc,0.0,0.0,0.0,0.0,0.2,0.2,8.7,8.8,8.7,6700,7016,6878,58.3,58.4,58.3
ATGC201,Bartonella henselae/quintana/tribocorum/bacilliformis/vinsonii/ancashi/clarridgeiae/grahamii/australis,15,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[356] {order} Rhizobiales,[773] {genus} Bartonella,Barqui,0.0,0.2,0.0,2.1,0.1,0.5,1.4,2.6,1.9,1169,2212,1486,35.7,41.8,38.5
ATGC202,Methanothermobacter marburgensis/thermautotrophicus/CaT2,3,[2157] {superkingdom} Archaea,[28890] {phylum} Euryarchaeota,[2158] {order} Methanobacteriales,[145260] {genus} Methanothermobacter,Metthe,0.0,0.1,0.1,1.1,0.1,0.1,1.6,1.8,1.7,1689,1746,1725,48.6,49.5,49.1
ATGC203,Salinispora tropica/arenicola,2,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85008] {order} Micromonosporales,[168694] {genus} Salinispora,Salare,0.0,0.0,0.7,0.7,0.1,0.1,5.2,5.8,5.5,4477,4844,4660,69.5,69.5,69.5
ATGC204,Micromonospora L5/aurantiaca,2,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85008] {order} Micromonosporales,[1873] {genus} Micromonospora,Micaur,0.0,0.0,0.0,0.0,0.1,0.1,7.0,7.0,7.0,6093,6163,6128,72.8,72.8,72.8
ATGC205,Methylovorus glucosetrophus/MP688,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[206350] {order} Methylophilales,[81682] {genus} Methylovorus,Metglu,0.0,0.0,0.1,0.1,0.1,0.1,2.9,3.1,3.0,2629,2856,2742,54.6,55.4,55.0
ATGC206,Leptospira interrogans,8,[2] {superkingdom} Bacteria,[203691] {phylum} Spirochaetes,,[173] {species} Leptospira interrogans,,0.0,0.0,0.0,0.0,0.3,0.8,4.6,4.9,4.7,3683,4047,3802,35.0,35.0,35.0
ATGC207,Leptospira borgpetersenii/santarosai,4,[2] {superkingdom} Bacteria,[203691] {phylum} Spirochaetes,,[171] {genus} Leptospira,,0.0,0.0,0.0,0.4,0.1,0.5,3.9,4.0,4.0,3277,3606,3420,40.2,41.8,40.6
ATGC208,Leptospira biflexa,2,[2] {superkingdom} Bacteria,[203691] {phylum} Spirochaetes,,[145259] {no rank} Leptospira biflexa serovar Patoc,Lepbif,0.0,0.0,0.0,0.0,0.5,0.5,4.0,4.0,4.0,3686,3690,3688,38.9,38.9,38.9
ATGC209,Desulfitobacterium hafniense,2,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186802] {order} Clostridiales,[49338] {species} Desulfitobacterium hafniense,Deshaf,0.0,0.0,0.0,0.0,0.2,0.2,5.3,5.7,5.5,4785,5164,4974,47.4,47.5,47.5
ATGC210,Dehalococcoides mccartyi/UCH007,14,[2] {superkingdom} Bacteria,[200795] {phylum} Chloroflexi,[1202465] {order} Dehalococcoidales,[61434] {genus} Dehalococcoides,Deheth,0.0,0.0,0.0,0.6,0.1,0.4,1.3,1.5,1.4,1380,1517,1445,46.9,48.9,47.3
ATGC211,Bacteroides fragilis,5,[2] {superkingdom} Bacteria,[976] {phylum} Bacteroidetes,[171549] {order} Bacteroidales,[817] {species} Bacteroides fragilis,,0.0,0.0,0.0,0.0,0.3,0.4,5.2,5.4,5.3,4062,4625,4242,43.1,43.4,43.2
ATGC212,Synechocystis PCC,7,[2] {superkingdom} Bacteria,[1117] {phylum} Cyanobacteria,[1118] {order} Chroococcales,[1148] {species} Synechocystis sp. PCC 6803,Synp01,0.0,0.0,0.0,0.0,0.7,0.8,3.6,3.9,3.7,3221,3618,3337,47.4,47.7,47.6
ATGC213,Methylobacterium extorquens/AMS5/populi,6,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[356] {order} Rhizobiales,[407] {genus} Methylobacterium,,0.0,0.0,0.1,0.7,0.0,0.1,5.5,6.9,6.0,4750,6196,5313,68.0,69.4,68.4
ATGC214,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC215,Alicycliphilus denitrificans,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[80840] {order} Burkholderiales,[179636] {species} Alicycliphilus denitrificans,Aliden,0.0,0.0,0.0,0.0,0.1,0.1,4.8,5.1,5.0,4455,4660,4557,67.9,68.0,68.0
ATGC216,Acidovorax citrulli/avenae,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[80840] {order} Burkholderiales,[12916] {genus} Acidovorax,Aciave,0.0,0.0,0.4,0.4,0.0,0.0,5.4,5.5,5.4,4598,4632,4615,68.5,68.8,68.7
ATGC217,Acidovorax ebreus/JS42,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[80840] {order} Burkholderiales,[12916] {genus} Acidovorax,,0.0,0.0,0.1,0.1,0.1,0.1,3.8,4.6,4.2,3423,4102,3762,66.1,66.8,66.4
ATGC218,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC219,Brachyspira pilosicoli,3,[2] {superkingdom} Bacteria,[203691] {phylum} Spirochaetes,[1643686] {order} Brachyspirales,[52584] {species} Brachyspira pilosicoli,,0.0,0.0,0.0,0.0,0.1,0.1,2.6,2.8,2.6,2059,2308,2208,27.8,27.9,27.9
ATGC220,Brachyspira intermedia/hyodysenteriae,2,[2] {superkingdom} Bacteria,[203691] {phylum} Spirochaetes,[1643686] {order} Brachyspirales,[29521] {genus} Brachyspira,Braint,0.0,0.0,0.6,0.6,0.0,0.0,3.0,3.3,3.2,2545,2689,2617,27.0,27.2,27.1
ATGC221,Cyanothece PCC,2,[2] {superkingdom} Bacteria,[1117] {phylum} Cyanobacteria,[1118] {order} Chroococcales,[43988] {genus} Cyanothece,,0.0,0.0,0.0,0.0,0.2,0.2,4.8,4.8,4.8,4300,4347,4323,39.8,39.8,39.8
ATGC222,Caulobacter crescentus,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[204458] {order} Caulobacterales,[190650] {no rank} Caulobacter crescentus CB15,Caucre,0.0,0.0,0.0,0.0,0.3,0.3,4.0,4.0,4.0,3737,3885,3811,67.2,67.2,67.2
ATGC223,Blattabacterium Blatta/Mastotermes/Cryptocercus/Panesthia/Blaberus/Periplaneta/Nauphoeta/Blattella,8,[2] {superkingdom} Bacteria,[976] {phylum} Bacteroidetes,[200644] {order} Flavobacteriales,[34098] {genus} Blattabacterium,Blabla,0.0,0.1,0.1,3.1,0.0,0.1,0.6,0.6,0.6,537,582,556,23.9,28.2,26.6
ATGC224,Xylella fastidiosa,7,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135614] {order} Xanthomonadales,[2371] {species} Xylella fastidiosa,Xylfas,0.0,0.0,0.0,0.1,0.2,0.5,2.5,2.8,2.6,1992,2375,2187,51.7,52.6,52.0
ATGC225,Amycolatopsis mediterranei,4,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85010] {order} Pseudonocardiales,[33910] {species} Amycolatopsis mediterranei,Amymed,0.0,0.0,0.0,0.0,0.3,0.4,10.2,10.2,10.2,9228,9335,9296,71.3,71.3,71.3
ATGC226,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC227,Chloroflexus Y/aurantiacus,2,[2] {superkingdom} Bacteria,[200795] {phylum} Chloroflexi,[32064] {order} Chloroflexales,[1107] {genus} Chloroflexus,,0.0,0.0,0.0,0.0,0.7,0.7,5.3,5.3,5.3,3853,3989,3921,56.7,56.7,56.7
ATGC228,Zymomonas mobilis,8,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[204457] {order} Sphingomonadales,[542] {species} Zymomonas mobilis,Zymmob,0.0,0.1,0.0,2.7,0.0,1.6,2.0,2.2,2.1,1734,1885,1811,44.0,46.6,45.9
ATGC229,Bradyrhizobium diazoefficiens/japonicum/CCGE/S23321,6,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[356] {order} Rhizobiales,[374] {genus} Bradyrhizobium,Brajap,0.0,0.0,0.0,0.8,0.0,0.5,7.2,10.5,8.8,6689,8749,7856,63.5,64.3,63.8
ATGC230,Bradyrhizobium ORS/oligotrophicum/BTAi1,3,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[356] {order} Rhizobiales,[374] {genus} Bradyrhizobium,Agroli,0.0,0.0,0.9,0.9,0.0,0.0,7.5,8.5,8.1,6515,7443,6985,64.8,65.5,65.1
ATGC231,Marinobacter hydrocarbonoclasticus/adhaerens/CP1,4,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135622] {order} Alteromonadales,[2742] {genus} Marinobacter,Maradh,0.0,0.1,0.1,2.8,0.0,0.1,4.0,4.8,4.5,3589,4273,4070,56.9,57.4,57.0
ATGC232,Hyphomicrobium denitrificans,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[356] {order} Rhizobiales,[53399] {species} Hyphomicrobium denitrificans,,0.1,0.1,1.0,1.0,0.1,0.1,3.6,3.8,3.7,3448,3585,3516,59.7,60.8,60.2
ATGC233,Delftia acidovorans/Cs1,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[80840] {order} Burkholderiales,[80865] {genus} Delftia,Delaci,0.0,0.0,0.1,0.1,0.1,0.1,6.7,6.8,6.7,5729,5975,5852,66.5,66.7,66.6
ATGC234,Clavibacter michiganensis,5,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85006] {order} Micrococcales,[28447] {species} Clavibacter michiganensis,Clamic,0.0,0.0,0.3,0.7,0.0,0.0,3.1,3.4,3.3,2798,3083,2986,72.4,73.2,72.7
ATGC235,Pseudoalteromonas SM9913/haloplanktis/issachenkonii/translucida/Bsw20308,5,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135622] {order} Alteromonadales,[53246] {genus} Pseudoalteromonas,,0.0,0.1,0.0,1.9,0.0,0.1,3.9,4.8,4.2,3346,4038,3604,39.0,40.3,40.0
ATGC236,Idiomarina loihiensis,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135622] {order} Alteromonadales,[135577] {species} Idiomarina loihiensis,Idiloi,0.0,0.0,0.0,0.0,undetermined,undetermined,2.8,2.8,2.8,2629,2631,2630,47.0,47.0,47.0
ATGC237,Porphyromonas gingivalis,7,[2] {superkingdom} Bacteria,[976] {phylum} Bacteroidetes,[171549] {order} Bacteroidales,[837] {species} Porphyromonas gingivalis,Porgin,0.0,0.0,0.0,0.0,0.3,2.1,2.2,2.4,2.3,1763,1906,1862,48.3,48.6,48.4
ATGC238,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC239,Edwardsiella tarda/piscicida/ictaluri/anguillarum/EA181011,7,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[91347] {order} Enterobacteriales,[635] {genus} Edwardsiella,Edwict,0.0,0.1,0.0,1.3,0.0,0.4,3.6,4.3,3.9,3091,3653,3248,57.4,59.7,58.8
ATGC240,Coxiella burnetii,7,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[118969] {order} Legionellales,[777] {species} Coxiella burnetii,Coxbur,0.0,0.0,0.0,0.0,0.5,0.8,2.0,2.2,2.1,1853,2109,1965,42.4,42.9,42.6
ATGC241,Myxococcus fulvus/xanthus/hansupus,3,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[29] {order} Myxococcales,[32] {genus} Myxococcus,Myxxan,0.0,0.0,0.5,0.8,0.1,0.1,9.0,9.5,9.2,6912,7210,7089,68.9,70.6,69.6
ATGC242,Herminiimonas/Janthinobacterium,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[80840] {order} Burkholderiales,[75682] {family} Oxalobacteraceae,Herars;Janmar,0.1,0.1,1.2,1.2,0.1,0.1,3.4,4.1,3.8,3167,3757,3462,54.2,54.3,54.2
ATGC243,Exiguobacterium MH3/sibiricum/antarcticum,3,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[1385] {order} Bacillales,[33986] {genus} Exiguobacterium,Eximh3,0.0,0.1,0.9,1.8,0.0,0.0,2.8,3.2,3.0,2736,3160,2960,47.2,47.7,47.5
ATGC244,Psychrobacter arcticus/alimentarius/urativorans/G/cryohalolentis,5,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[72274] {order} Pseudomonadales,[497] {genus} Psychrobacter,Psyg__,0.0,0.1,0.1,1.9,0.1,0.1,2.7,3.3,3.0,2130,2678,2441,42.1,42.9,42.5
ATGC245,Acidithiobacillus ferrooxidans,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[225057] {order} Acidithiobacillales,[920] {species} Acidithiobacillus ferrooxidans,Acif01,0.0,0.0,0.0,0.0,0.3,0.3,2.9,3.0,2.9,2755,2894,2824,58.8,58.9,58.8
ATGC246,Liberibacter asiaticus/africanus/solanacearum,6,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[356] {order} Rhizobiales,[34019] {genus} Candidatus Liberibacter,Libsol,0.0,0.1,0.0,1.3,0.1,0.6,1.2,1.3,1.2,986,1077,1023,34.5,36.6,35.9
ATGC247,Bdellovibrio bacteriovorus,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[213481] {order} Bdellovibrionales,[959] {species} Bdellovibrio bacteriovorus,,0.0,0.0,0.4,0.4,0.0,0.0,3.8,4.0,3.9,3593,3734,3663,49.9,50.7,50.3
ATGC248,Salinibacter ruber,2,[2] {superkingdom} Bacteria,[976] {phylum} Bacteroidetes,[1100069] {order} Bacteroidetes Order II. Incertae sedis,[146919] {species} Salinibacter ruber,Salrub,0.0,0.0,0.0,0.0,0.2,0.2,3.6,3.8,3.7,2833,3071,2952,65.9,66.1,66.0
ATGC249,Rhodothermus marinus,2,[2] {superkingdom} Bacteria,[976] {phylum} Bacteroidetes,[1100069] {order} Bacteroidetes Order II. Incertae sedis,[29549] {species} Rhodothermus marinus,Rhomar,0.0,0.0,0.2,0.2,0.1,0.1,3.3,3.4,3.4,2842,2851,2846,64.3,64.3,64.3
ATGC250,Rhodospirillum rubrum,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[204441] {order} Rhodospirillales,[1085] {species} Rhodospirillum rubrum,,0.0,0.0,0.0,0.0,undetermined,undetermined,4.4,4.4,4.4,3802,3837,3819,65.4,65.4,65.4
ATGC251,Blochmannia chromaiodes/pennsylvanicus,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[91347] {order} Enterobacteriales,[203804] {genus} Candidatus Blochmannia,Blopen,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.8,0.8,604,605,604,29.5,29.6,29.6
ATGC252,Anaeromyxobacter dehalogenans/K,3,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[29] {order} Myxococcales,[161492] {genus} Anaeromyxobacter,Anadeh,0.0,0.0,0.1,0.4,0.1,0.1,5.0,5.1,5.0,4411,4443,4428,74.7,74.9,74.8
ATGC253,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC254,Alicyclobacillus acidocaldarius,2,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[1385] {order} Bacillales,[1388] {subspecies} Alicyclobacillus acidocaldarius subsp. acidocaldarius,Aliaci,0.0,0.0,0.4,0.4,0.1,0.1,3.1,3.2,3.2,2845,2972,2908,61.5,61.9,61.7
ATGC255,Micavibrio aeruginosavorus,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,,[349221] {species} Micavibrio aeruginosavorus,Micaer,0.0,0.0,0.5,0.5,0.1,0.1,2.5,2.5,2.5,2272,2304,2288,54.7,55.0,54.9
ATGC256,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC257,Ketogulonicigenium vulgare,3,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[204455] {order} Rhodobacterales,[92945] {species} Ketogulonicigenium vulgare,Ketvul,0.0,0.0,0.0,0.0,0.5,0.5,3.3,3.3,3.3,3034,3178,3088,61.7,61.8,61.7
ATGC258,Dictyoglomus turgidum/thermophilum,2,[2] {superkingdom} Bacteria,[68297] {phylum} Dictyoglomi,[203487] {order} Dictyoglomales,[13] {genus} Dictyoglomus,Dicthe,0.1,0.1,1.8,1.8,0.0,0.0,1.9,2.0,1.9,1742,1855,1798,33.7,34.0,33.9
ATGC259,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC260,Arthromitus SFB,4,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186802] {order} Clostridiales,[49082] {genus} Candidatus Arthromitus,Artsfb,0.0,0.1,0.0,1.5,0.1,0.3,1.5,1.7,1.6,1347,1532,1454,28.0,28.3,28.1
ATGC261,Fusobacterium nucleatum/hwasookii,13,[2] {superkingdom} Bacteria,[32066] {phylum} Fusobacteria,[203491] {order} Fusobacteriales,[848] {genus} Fusobacterium,Fusnuc,0.0,0.0,0.0,0.9,0.0,0.1,2.2,2.6,2.4,1915,2387,2171,26.8,27.2,27.1
ATGC262,Nitrosococcus watsonii/oceani,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135613] {order} Chromatiales,[1227] {genus} Nitrosococcus,,0.0,0.0,0.3,0.3,0.2,0.2,3.4,3.5,3.4,2924,3149,3036,50.1,50.3,50.2
ATGC263,Taylorella equigenitalis,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[80840] {order} Burkholderiales,[29575] {species} Taylorella equigenitalis,Tayequ,0.0,0.0,0.0,0.0,0.5,0.5,1.7,1.7,1.7,1503,1530,1516,37.3,37.4,37.3
ATGC264,Acidiphilium multivorum/cryptum,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[204441] {order} Rhodospirillales,[522] {genus} Acidiphilium,Acimul,0.0,0.0,0.0,0.0,0.2,0.2,4.0,4.2,4.1,3486,3721,3603,67.0,67.1,67.0
ATGC265,Polynucleobacter duraquae/necessarius,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[80840] {order} Burkholderiales,[44013] {genus} Polynucleobacter,Polnec,0.1,0.1,2.6,2.6,0.0,0.0,2.0,2.2,2.1,2018,2111,2064,44.8,45.2,45.0
ATGC266,Lawsonia intracellularis,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[213115] {order} Desulfovibrionales,[29546] {species} Lawsonia intracellularis,Lawint,0.0,0.0,0.0,0.0,0.4,0.4,1.7,1.7,1.7,1409,1410,1409,33.1,33.1,33.1
ATGC267,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC268,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC269,Fibrobacter succinogenes,2,[2] {superkingdom} Bacteria,[65842] {phylum} Fibrobacteres,[218872] {order} Fibrobacterales,[59374] {no rank} Fibrobacter succinogenes subsp. succinogenes S85,Fibsuc,0.0,0.0,0.0,0.0,0.5,0.5,3.8,3.8,3.8,3058,3078,3068,48.0,48.1,48.0
ATGC270,Metallosphaera sedula,6,[2157] {superkingdom} Archaea,[28889] {phylum} Crenarchaeota,[2281] {order} Sulfolobales,[43687] {species} Metallosphaera sedula,Metsed,0.0,0.0,0.0,0.0,0.5,0.5,2.2,2.2,2.2,2272,2280,2274,46.2,46.2,46.2
ATGC271,Thermofilum carboxyditrophus/1910b,2,[2157] {superkingdom} Archaea,[28889] {phylum} Crenarchaeota,[2266] {order} Thermoproteales,[2268] {genus} Thermofilum,The191,0.0,0.0,0.0,0.0,0.2,0.2,1.8,1.8,1.8,1825,1849,1837,46.4,46.5,46.5
ATGC272,Methanosarcina barkeri,3,[2157] {superkingdom} Archaea,[28890] {phylum} Euryarchaeota,[94695] {order} Methanosarcinales,[2208] {species} Methanosarcina barkeri,,0.0,0.0,0.0,0.0,0.3,0.3,4.5,4.6,4.5,3424,3481,3452,39.2,39.2,39.2
ATGC273,Methanosarcina siciliae,2,[2157] {superkingdom} Archaea,[28890] {phylum} Euryarchaeota,[94695] {order} Methanosarcinales,[38027] {species} Methanosarcina siciliae,,0.0,0.0,0.0,0.0,0.3,0.3,5.0,5.4,5.2,3969,4327,4148,42.6,42.9,42.8
ATGC274,Methanosarcina barkeri,2,[2157] {superkingdom} Archaea,[28890] {phylum} Euryarchaeota,[94695] {order} Methanosarcinales,[2208] {species} Methanosarcina barkeri,,0.0,0.0,0.0,0.0,2.0,2.0,4.9,4.9,4.9,3760,3788,3774,39.2,39.2,39.2
ATGC275,Methanosarcina Kolksee/vacuolata,2,[2157] {superkingdom} Archaea,[28890] {phylum} Euryarchaeota,[94695] {order} Methanosarcinales,[2207] {genus} Methanosarcina,,0.0,0.0,0.0,0.0,0.3,0.3,4.6,4.6,4.6,3522,3531,3526,39.7,39.8,39.8
ATGC276,Methanosarcina WWM596/WH1,2,[2157] {superkingdom} Archaea,[28890] {phylum} Euryarchaeota,[94695] {order} Methanosarcinales,[2207] {genus} Methanosarcina,,0.0,0.0,0.0,0.0,0.3,0.3,3.9,4.1,4.0,3266,3449,3357,41.7,41.8,41.8
ATGC277,Halorhabdus tiamatea/utahensis,2,[2157] {superkingdom} Archaea,[28890] {phylum} Euryarchaeota,[2235] {order} Halobacteriales,[146825] {genus} Halorhabdus,Haltia,0.1,0.1,1.0,1.0,0.1,0.1,3.1,3.1,3.1,2893,2969,2931,62.7,62.9,62.8
